obf-class	obf-field	obf-signature	cb-field	cb-signature
a	a	Ljava/lang/String;	a	Ljava/lang/String;
a	b	Ljava/lang/Throwable;	b	Ljava/lang/Throwable;
a	c	Ll;	c	Lnet/minecraft/server/CrashReportSystemDetails;
a	d	Ljava/util/List;	d	Ljava/util/List;
a	e	Ljava/io/File;	e	Ljava/io/File;
a	f	Z	f	Z
a	g	[Ljava/lang/StackTraceElement;	g	[Ljava/lang/StackTraceElement;
aab	a	J	a	J
aab	b	Z	b	Z
aab	c	[B	c	[B
aab	d	Lzu;	d	Lnet/minecraft/server/OldNibbleArray;
aab	e	Lzu;	e	Lnet/minecraft/server/OldNibbleArray;
aab	f	Lzu;	f	Lnet/minecraft/server/OldNibbleArray;
aab	g	[B	g	[B
aab	h	Lby;	h	Lnet/minecraft/server/NBTTagList;
aab	i	Lby;	i	Lnet/minecraft/server/NBTTagList;
aab	j	Lby;	j	Lnet/minecraft/server/NBTTagList;
aab	k	I	k	I
aab	l	I	l	I
aac	a	[B	a	[B
aac	b	Ljava/io/File;	b	Ljava/io/File;
aac	c	Ljava/io/RandomAccessFile;	c	Ljava/io/RandomAccessFile;
aac	d	[I	d	[I
aac	e	[I	e	[I
aac	f	Ljava/util/ArrayList;	f	Ljava/util/ArrayList;
aac	g	I	g	I
aac	h	J	h	J
aad	b	I	b	I
aad	c	I	c	I
aad	a	Laac;	a	Lnet/minecraft/server/RegionFile;
aae	a	Ljava/util/Map;	a	Ljava/util/Map;
aaf	a	Ljava/util/List;	a	Ljava/util/List;
aaf	b	Ljava/util/Set;	b	Ljava/util/Set;
aaf	c	Ljava/lang/Object;	c	Ljava/lang/Object;
aaf	d	Ljava/io/File;	d	Ljava/io/File;
aag	a	Lxo;	a	Lnet/minecraft/server/ChunkCoordIntPair;
aag	b	Lbq;	b	Lnet/minecraft/server/NBTTagCompound;
aaj	a	Lxv;	a	Lnet/minecraft/server/World;
aaj	b	Lyg;	type	Lnet/minecraft/server/WorldType;
aaj	c	Ljava/lang/String;	c	Ljava/lang/String;
aaj	d	Lyw;	d	Lnet/minecraft/server/WorldChunkManager;
aaj	e	Z	e	Z
aaj	f	Z	f	Z
aaj	g	[F	g	[F
aaj	h	I	dimension	I
aaj	i	[F	i	[F
aan	d	[F	d	[F
aap	a	Lxv;	a	Lnet/minecraft/server/World;
aap	b	Ljava/util/Random;	b	Ljava/util/Random;
aap	c	[B	c	[B
aap	d	[B	d	[B
aap	e	Lacd;	e	Lnet/minecraft/server/WorldGenFlatInfo;
aap	f	Ljava/util/List;	f	Ljava/util/List;
aap	g	Z	g	Z
aap	h	Z	h	Z
aap	i	Labn;	i	Lnet/minecraft/server/WorldGenLakes;
aap	j	Labn;	j	Lnet/minecraft/server/WorldGenLakes;
aaq	i	Ljava/util/Random;	i	Ljava/util/Random;
aaq	j	Lafs;	j	Lnet/minecraft/server/NoiseGeneratorOctaves;
aaq	k	Lafs;	k	Lnet/minecraft/server/NoiseGeneratorOctaves;
aaq	l	Lafs;	l	Lnet/minecraft/server/NoiseGeneratorOctaves;
aaq	m	Lafs;	m	Lnet/minecraft/server/NoiseGeneratorOctaves;
aaq	n	Lafs;	n	Lnet/minecraft/server/NoiseGeneratorOctaves;
aaq	a	Lafs;	a	Lnet/minecraft/server/NoiseGeneratorOctaves;
aaq	b	Lafs;	b	Lnet/minecraft/server/NoiseGeneratorOctaves;
aaq	o	Lxv;	o	Lnet/minecraft/server/World;
aaq	p	[D	p	[D
aaq	c	Laco;	c	Lnet/minecraft/server/WorldGenNether;
aaq	q	[D	q	[D
aaq	r	[D	r	[D
aaq	s	[D	s	[D
aaq	t	Laas;	t	Lnet/minecraft/server/WorldGenBase;
aaq	d	[D	d	[D
aaq	e	[D	e	[D
aaq	f	[D	f	[D
aaq	g	[D	g	[D
aaq	h	[D	h	[D
aas	a	I	a	I
aas	b	Ljava/util/Random;	b	Ljava/util/Random;
aas	c	Lxv;	c	Lnet/minecraft/server/World;
aau	k	Ljava/util/Random;	k	Ljava/util/Random;
aau	l	Lafs;	l	Lnet/minecraft/server/NoiseGeneratorOctaves;
aau	m	Lafs;	m	Lnet/minecraft/server/NoiseGeneratorOctaves;
aau	n	Lafs;	n	Lnet/minecraft/server/NoiseGeneratorOctaves;
aau	o	Lafs;	o	Lnet/minecraft/server/NoiseGeneratorOctaves;
aau	a	Lafs;	a	Lnet/minecraft/server/NoiseGeneratorOctaves;
aau	b	Lafs;	b	Lnet/minecraft/server/NoiseGeneratorOctaves;
aau	c	Lafs;	c	Lnet/minecraft/server/NoiseGeneratorOctaves;
aau	p	Lxv;	p	Lnet/minecraft/server/World;
aau	q	Z	q	Z
aau	r	[D	r	[D
aau	s	[D	s	[D
aau	t	Laas;	t	Lnet/minecraft/server/WorldGenBase;
aau	u	Ladr;	u	Lnet/minecraft/server/WorldGenStronghold;
aau	v	Laev;	v	Lnet/minecraft/server/WorldGenVillage;
aau	w	Lach;	w	Lnet/minecraft/server/WorldGenMineshaft;
aau	x	Ladi;	x	Lnet/minecraft/server/WorldGenLargeFeature;
aau	y	Laas;	y	Lnet/minecraft/server/WorldGenBase;
aau	z	[Lyr;	z	[Lnet/minecraft/server/BiomeBase;
aau	d	[D	d	[D
aau	e	[D	e	[D
aau	f	[D	f	[D
aau	g	[D	g	[D
aau	h	[D	h	[D
aau	i	[F	i	[F
aau	j	[[I	j	[[I
aav	i	Ljava/util/Random;	i	Ljava/util/Random;
aav	j	Lafs;	j	Lnet/minecraft/server/NoiseGeneratorOctaves;
aav	k	Lafs;	k	Lnet/minecraft/server/NoiseGeneratorOctaves;
aav	l	Lafs;	l	Lnet/minecraft/server/NoiseGeneratorOctaves;
aav	a	Lafs;	a	Lnet/minecraft/server/NoiseGeneratorOctaves;
