obf-class	obf-method	obf-signature	cb-method	cb-signature
a	a	(Ljava/lang/String;Ljava/lang/Throwable;)V	net.minecraft.server.CrashReport	(Ljava/lang/String;Ljava/lang/Throwable;)V
a	h	()V	h	()V
a	a	()Ljava/lang/String;	a	()Ljava/lang/String;
a	b	()Ljava/lang/Throwable;	b	()Ljava/lang/Throwable;
a	a	(Ljava/lang/StringBuilder;)V	a	(Ljava/lang/StringBuilder;)V
a	d	()Ljava/lang/String;	d	()Ljava/lang/String;
a	e	()Ljava/lang/String;	e	()Ljava/lang/String;
a	a	(Ljava/io/File;)Z	a	(Ljava/io/File;)Z
a	g	()Ll;	g	()Lnet/minecraft/server/CrashReportSystemDetails;
a	a	(Ljava/lang/String;)Ll;	a	(Ljava/lang/String;)Lnet/minecraft/server/CrashReportSystemDetails;
a	a	(Ljava/lang/String;I)Ll;	a	(Ljava/lang/String;I)Lnet/minecraft/server/CrashReportSystemDetails;
a	i	()Ljava/lang/String;	i	()Ljava/lang/String;
a	a	(Ljava/lang/Throwable;Ljava/lang/String;)La;	a	(Ljava/lang/Throwable;Ljava/lang/String;)Lnet/minecraft/server/CrashReport;
aa	c_	()Ljava/lang/String;	getName	()Ljava/lang/String;
aa	a	(Ljava/lang/String;)V	sendMessage	(Ljava/lang/String;)V
aa	a	(ILjava/lang/String;)Z	a	(ILjava/lang/String;)Z
aa	a	(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;	a	(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;
aa	b	()Ls;	b	()Lnet/minecraft/server/ChunkCoordinates;
aaa	a	(Lbq;)Laab;	a	(Lnet/minecraft/server/NBTTagCompound;)Lnet/minecraft/server/OldChunk;
aaa	a	(Laab;Lbq;Lyw;)V	a	(Lnet/minecraft/server/OldChunk;Lnet/minecraft/server/NBTTagCompound;Lnet/minecraft/server/WorldChunkManager;)V
aab	aab	(II)V	net.minecraft.server.OldChunk	(II)V
aac	aac	(Ljava/io/File;)V	net.minecraft.server.RegionFile	(Ljava/io/File;)V
aac	a	(II)Ljava/io/DataInputStream;	a	(II)Ljava/io/DataInputStream;
aac	b	(II)Ljava/io/DataOutputStream;	b	(II)Ljava/io/DataOutputStream;
aac	a	(II[BI)V	a	(II[BI)V
aac	a	(I[BI)V	a	(I[BI)V
aac	d	(II)Z	d	(II)Z
aac	e	(II)I	e	(II)I
aac	c	(II)Z	c	(II)Z
aac	a	(III)V	a	(III)V
aac	b	(III)V	b	(III)V
aac	c	()V	c	()V
aac	{}	()V	{}	()V
aad	aad	(Laac;II)V	net.minecraft.server.ChunkBuffer	(Lnet/minecraft/server/RegionFile;II)V
aad	close	()V	close	()V
aae	a	(Ljava/io/File;II)Laac;	a	(Ljava/io/File;II)Lnet/minecraft/server/RegionFile;
aae	a	()V	a	()V
aae	c	(Ljava/io/File;II)Ljava/io/DataInputStream;	c	(Ljava/io/File;II)Ljava/io/DataInputStream;
aae	d	(Ljava/io/File;II)Ljava/io/DataOutputStream;	d	(Ljava/io/File;II)Ljava/io/DataOutputStream;
aae	{}	()V	{}	()V
aaf	aaf	(Ljava/io/File;)V	net.minecraft.server.ChunkRegionLoader	(Ljava/io/File;)V
aaf	a	(Lxv;II)Lzs;	a	(Lnet/minecraft/server/World;II)Lnet/minecraft/server/Chunk;
aaf	a	(Lxv;IILbq;)Lzs;	a	(Lnet/minecraft/server/World;IILnet/minecraft/server/NBTTagCompound;)Lnet/minecraft/server/Chunk;
aaf	a	(Lxv;Lzs;)V	a	(Lnet/minecraft/server/World;Lnet/minecraft/server/Chunk;)V
aaf	a	(Lxo;Lbq;)V	a	(Lnet/minecraft/server/ChunkCoordIntPair;Lnet/minecraft/server/NBTTagCompound;)V
aaf	c	()Z	c	()Z
aaf	a	(Laag;)V	a	(Lnet/minecraft/server/PendingChunkToSave;)V
aaf	b	(Lxv;Lzs;)V	b	(Lnet/minecraft/server/World;Lnet/minecraft/server/Chunk;)V
aaf	a	()V	a	()V
aaf	b	()V	b	()V
aaf	a	(Lzs;Lxv;Lbq;)V	a	(Lnet/minecraft/server/Chunk;Lnet/minecraft/server/World;Lnet/minecraft/server/NBTTagCompound;)V
aaf	a	(Lxv;Lbq;)Lzs;	a	(Lnet/minecraft/server/World;Lnet/minecraft/server/NBTTagCompound;)Lnet/minecraft/server/Chunk;
aag	aag	(Lxo;Lbq;)V	net.minecraft.server.PendingChunkToSave	(Lnet/minecraft/server/ChunkCoordIntPair;Lnet/minecraft/server/NBTTagCompound;)V
aaj	aaj	()V	net.minecraft.server.WorldProvider	()V
aaj	a	(Lxv;)V	a	(Lnet/minecraft/server/World;)V
aaj	a	()V	a	()V
aaj	b	()V	b	()V
aaj	c	()Lzp;	getChunkProvider	()Lnet/minecraft/server/IChunkProvider;
aaj	a	(II)Z	canSpawn	(II)Z
aaj	a	(JF)F	a	(JF)F
aaj	d	()Z	d	()Z
aaj	e	()Z	e	()Z
aaj	a	(I)Laaj;	byDimension	(I)Lnet/minecraft/server/WorldProvider;
aaj	h	()Ls;	h	()Lnet/minecraft/server/ChunkCoordinates;
aaj	i	()I	getSeaLevel	()I
aaj	l	()Ljava/lang/String;	getName	()Ljava/lang/String;
aak	aak	()V	net.minecraft.server.WorldProviderHell	()V
aak	b	()V	b	()V
aak	a	()V	a	()V
aak	c	()Lzp;	getChunkProvider	()Lnet/minecraft/server/IChunkProvider;
aak	d	()Z	d	()Z
aak	a	(II)Z	canSpawn	(II)Z
aak	a	(JF)F	a	(JF)F
aak	e	()Z	e	()Z
aak	l	()Ljava/lang/String;	getName	()Ljava/lang/String;
aal	aal	()V	net.minecraft.server.WorldProviderNormal	()V
aal	l	()Ljava/lang/String;	getName	()Ljava/lang/String;
aam	aam	()V	net.minecraft.server.WorldProviderTheEnd	()V
aam	b	()V	b	()V
aam	c	()Lzp;	getChunkProvider	()Lnet/minecraft/server/IChunkProvider;
aam	a	(JF)F	a	(JF)F
aam	e	()Z	e	()Z
aam	d	()Z	d	()Z
aam	a	(II)Z	canSpawn	(II)Z
aam	h	()Ls;	h	()Lnet/minecraft/server/ChunkCoordinates;
aam	i	()I	getSeaLevel	()I
aam	l	()Ljava/lang/String;	getName	()Ljava/lang/String;
aan	aan	()V	net.minecraft.server.WorldGenCanyon	()V
aan	a	(JII[BDDDFFFIID)V	a	(JII[BDDDFFFIID)V
aan	a	(Lxv;IIII[B)V	a	(Lnet/minecraft/server/World;IIII[B)V
aap	aap	(Lxv;JZLjava/lang/String;)V	net.minecraft.server.ChunkProviderFlat	(Lnet/minecraft/server/World;JZLjava/lang/String;)V
aap	c	(II)Lzs;	getChunkAt	(II)Lnet/minecraft/server/Chunk;
aap	d	(II)Lzs;	getOrCreateChunk	(II)Lnet/minecraft/server/Chunk;
aap	a	(II)Z	isChunkLoaded	(II)Z
aap	a	(Lzp;II)V	getChunkAt	(Lnet/minecraft/server/IChunkProvider;II)V
aap	a	(ZLkj;)Z	saveChunks	(ZLnet/minecraft/server/IProgressUpdate;)Z
aap	b	()Z	unloadChunks	()Z
aap	c	()Z	canSave	()Z
aap	d	()Ljava/lang/String;	getName	()Ljava/lang/String;
aap	a	(Lme;III)Ljava/util/List;	getMobsFor	(Lnet/minecraft/server/EnumCreatureType;III)Ljava/util/List;
aap	a	(Lxv;Ljava/lang/String;III)Lyo;	findNearestMapFeature	(Lnet/minecraft/server/World;Ljava/lang/String;III)Lnet/minecraft/server/ChunkPosition;
aap	e	()I	getLoadedChunks	()I
aap	e	(II)V	recreateStructures	(II)V
aaq	aaq	(Lxv;J)V	net.minecraft.server.ChunkProviderHell	(Lnet/minecraft/server/World;J)V
aaq	a	(II[B)V	a	(II[B)V
aaq	b	(II[B)V	b	(II[B)V
aaq	c	(II)Lzs;	getChunkAt	(II)Lnet/minecraft/server/Chunk;
aaq	d	(II)Lzs;	getOrCreateChunk	(II)Lnet/minecraft/server/Chunk;
aaq	a	([DIIIIII)[D	a	([DIIIIII)[D
aaq	a	(II)Z	isChunkLoaded	(II)Z
aaq	a	(Lzp;II)V	getChunkAt	(Lnet/minecraft/server/IChunkProvider;II)V
aaq	a	(ZLkj;)Z	saveChunks	(ZLnet/minecraft/server/IProgressUpdate;)Z
aaq	b	()Z	unloadChunks	()Z
aaq	c	()Z	canSave	()Z
aaq	d	()Ljava/lang/String;	getName	()Ljava/lang/String;
aaq	a	(Lme;III)Ljava/util/List;	getMobsFor	(Lnet/minecraft/server/EnumCreatureType;III)Ljava/util/List;
aaq	a	(Lxv;Ljava/lang/String;III)Lyo;	findNearestMapFeature	(Lnet/minecraft/server/World;Ljava/lang/String;III)Lnet/minecraft/server/ChunkPosition;
aaq	e	()I	getLoadedChunks	()I
aaq	e	(II)V	recreateStructures	(II)V
aar	aar	()V	net.minecraft.server.WorldGenCaves	()V
aar	a	(JII[BDDD)V	a	(JII[BDDD)V
aar	a	(JII[BDDDFFFIID)V	a	(JII[BDDDFFFIID)V
aar	a	(Lxv;IIII[B)V	a	(Lnet/minecraft/server/World;IIII[B)V
aas	aas	()V	net.minecraft.server.WorldGenBase	()V
aas	a	(Lzp;Lxv;II[B)V	a	(Lnet/minecraft/server/IChunkProvider;Lnet/minecraft/server/World;II[B)V
aas	a	(Lxv;IIII[B)V	a	(Lnet/minecraft/server/World;IIII[B)V
aat	aat	()V	net.minecraft.server.WorldGenCavesHell	()V
aat	a	(II[BDDD)V	a	(II[BDDD)V
aat	a	(II[BDDDFFFIID)V	a	(II[BDDDFFFIID)V
aat	a	(Lxv;IIII[B)V	a	(Lnet/minecraft/server/World;IIII[B)V
aau	aau	(Lxv;JZ)V	net.minecraft.server.ChunkProviderGenerate	(Lnet/minecraft/server/World;JZ)V
aau	a	(II[B)V	a	(II[B)V
aau	a	(II[B[Lyr;)V	a	(II[B[Lnet/minecraft/server/BiomeBase;)V
aau	c	(II)Lzs;	getChunkAt	(II)Lnet/minecraft/server/Chunk;
aau	d	(II)Lzs;	getOrCreateChunk	(II)Lnet/minecraft/server/Chunk;
aau	a	([DIIIIII)[D	a	([DIIIIII)[D
aau	a	(II)Z	isChunkLoaded	(II)Z
aau	a	(Lzp;II)V	getChunkAt	(Lnet/minecraft/server/IChunkProvider;II)V
aau	a	(ZLkj;)Z	saveChunks	(ZLnet/minecraft/server/IProgressUpdate;)Z
aau	b	()Z	unloadChunks	()Z
aau	c	()Z	canSave	()Z
aau	d	()Ljava/lang/String;	getName	()Ljava/lang/String;
aau	a	(Lme;III)Ljava/util/List;	getMobsFor	(Lnet/minecraft/server/EnumCreatureType;III)Ljava/util/List;
